Student ID,Student Name,Gender,Term,Class,Subject,CA Score,CA Total Score,Classes Held,Classes Attended,Behavioral Rating
STU_0001,Student 0001,Male,2026_T1,JSS2,Physics,31.5,40,32,21,Good
STU_0001,Student 0001,Male,2026_T1,JSS2,Mathematics,32.5,40,28,18,Good
STU_0001,Student 0001,Male,2026_T1,JSS2,Biology,29.5,40,30,19,Good
STU_0001,Student 0001,Male,2026_T1,JSS2,Computer Science,28.6,40,34,22,Good
STU_0001,Student 0001,Male,2026_T1,JSS2,English Language,31.6,40,35,23,Good
STU_0001,Student 0001,Male,2026_T1,JSS2,Literature,30.8,40,35,23,Good
STU_0002,Student 0002,Male,2026_T1,SS2,Economics,32.2,40,25,16,Good
STU_0002,Student 0002,Male,2026_T1,SS2,Computer Science,30.8,40,25,16,Good
STU_0002,Student 0002,Male,2026_T1,SS2,Biology,31.4,40,30,20,Good
STU_0002,Student 0002,Male,2026_T1,SS2,Mathematics,27.7,40,28,18,Good
STU_0002,Student 0002,Male,2026_T1,SS2,Further Mathematics,34.7,40,32,21,Good
STU_0002,Student 0002,Male,2026_T1,SS2,Literature,30.6,40,30,20,Good
STU_0003,Student 0003,Female,2026_T1,SS2,Biology,40.0,40,34,33,Excellent
STU_0003,Student 0003,Female,2026_T1,SS2,Economics,37.0,40,27,26,Excellent
STU_0003,Student 0003,Female,2026_T1,SS2,Geography,39.3,40,29,28,Excellent
STU_0003,Student 0003,Female,2026_T1,SS2,English Language,36.0,40,27,26,Excellent
STU_0003,Student 0003,Female,2026_T1,SS2,Computer Science,39.6,40,33,32,Excellent
STU_0003,Student 0003,Female,2026_T1,SS2,Mathematics,37.9,40,32,31,Excellent
STU_0004,Student 0004,Male,2026_T1,JSS1,Geography,38.1,40,31,21,Good
STU_0004,Student 0004,Male,2026_T1,JSS1,Mathematics,39.4,40,29,19,Good
STU_0004,Student 0004,Male,2026_T1,JSS1,Physics,35.6,40,29,19,Good
STU_0004,Student 0004,Male,2026_T1,JSS1,Chemistry,36.7,40,34,23,Good
STU_0004,Student 0004,Male,2026_T1,JSS1,Literature,39.0,40,29,19,Good
STU_0004,Student 0004,Male,2026_T1,JSS1,Computer Science,40.0,40,33,22,Good
STU_0005,Student 0005,Male,2026_T1,SS2,Literature,38.2,40,27,18,Good
STU_0005,Student 0005,Male,2026_T1,SS2,Mathematics,39.7,40,25,17,Good
STU_0005,Student 0005,Male,2026_T1,SS2,Chemistry,38.3,40,32,22,Good
STU_0005,Student 0005,Male,2026_T1,SS2,English Language,40.0,40,29,19,Good
STU_0005,Student 0005,Male,2026_T1,SS2,Further Mathematics,35.0,40,27,18,Good
STU_0005,Student 0005,Male,2026_T1,SS2,Economics,38.7,40,32,22,Good
STU_0006,Student 0006,Male,2026_T1,JSS3,Literature,34.4,40,26,26,Average
STU_0006,Student 0006,Male,2026_T1,JSS3,Computer Science,32.6,40,30,30,Average
STU_0006,Student 0006,Male,2026_T1,JSS3,English Language,38.2,40,26,26,Average
STU_0006,Student 0006,Male,2026_T1,JSS3,Economics,37.9,40,28,28,Average
STU_0006,Student 0006,Male,2026_T1,JSS3,Geography,37.0,40,29,29,Average
STU_0006,Student 0006,Male,2026_T1,JSS3,Further Mathematics,37.4,40,27,27,Average
STU_0007,Student 0007,Male,2026_T1,SS1,Mathematics,40.0,40,32,29,Excellent
STU_0007,Student 0007,Male,2026_T1,SS1,Further Mathematics,37.3,40,35,31,Excellent
STU_0007,Student 0007,Male,2026_T1,SS1,Physics,38.9,40,26,23,Excellent
STU_0007,Student 0007,Male,2026_T1,SS1,Chemistry,36.5,40,30,27,Excellent
STU_0007,Student 0007,Male,2026_T1,SS1,Computer Science,38.4,40,25,22,Excellent
STU_0007,Student 0007,Male,2026_T1,SS1,English Language,37.4,40,29,26,Excellent
STU_0008,Student 0008,Male,2026_T1,JSS1,Mathematics,36.6,40,32,22,Excellent
STU_0008,Student 0008,Male,2026_T1,JSS1,English Language,40.0,40,35,24,Excellent
STU_0008,Student 0008,Male,2026_T1,JSS1,Literature,39.7,40,29,20,Excellent
STU_0008,Student 0008,Male,2026_T1,JSS1,Economics,37.7,40,34,23,Excellent
STU_0008,Student 0008,Male,2026_T1,JSS1,Geography,32.8,40,35,24,Excellent
STU_0008,Student 0008,Male,2026_T1,JSS1,Chemistry,36.7,40,25,17,Excellent
STU_0009,Student 0009,Female,2026_T1,JSS1,Computer Science,32.8,40,30,26,Good
STU_0009,Student 0009,Female,2026_T1,JSS1,Physics,26.9,40,25,21,Good
STU_0009,Student 0009,Female,2026_T1,JSS1,Chemistry,29.6,40,26,22,Good
STU_0009,Student 0009,Female,2026_T1,JSS1,Economics,30.3,40,33,28,Good
STU_0009,Student 0009,Female,2026_T1,JSS1,Mathematics,27.8,40,34,29,Good
STU_0009,Student 0009,Female,2026_T1,JSS1,Further Mathematics,25.7,40,31,27,Good
STU_0010,Student 0010,Male,2026_T1,JSS3,Economics,14.2,40,31,16,Average
STU_0010,Student 0010,Male,2026_T1,JSS3,Biology,20.5,40,29,15,Average
STU_0010,Student 0010,Male,2026_T1,JSS3,Physics,17.5,40,35,18,Average
STU_0010,Student 0010,Male,2026_T1,JSS3,Mathematics,19.5,40,34,17,Average
STU_0010,Student 0010,Male,2026_T1,JSS3,Literature,16.6,40,27,14,Average
STU_0010,Student 0010,Male,2026_T1,JSS3,Chemistry,18.6,40,30,15,Average
STU_0011,Student 0011,Male,2026_T1,JSS3,Computer Science,36.1,40,34,26,Good
STU_0011,Student 0011,Male,2026_T1,JSS3,Economics,36.5,40,27,21,Good
STU_0011,Student 0011,Male,2026_T1,JSS3,English Language,33.8,40,31,24,Good
STU_0011,Student 0011,Male,2026_T1,JSS3,Further Mathematics,38.4,40,35,27,Good
STU_0011,Student 0011,Male,2026_T1,JSS3,Chemistry,34.8,40,31,24,Good
STU_0011,Student 0011,Male,2026_T1,JSS3,Physics,32.6,40,26,20,Good
STU_0012,Student 0012,Male,2026_T1,JSS2,Further Mathematics,23.5,40,26,14,Poor
STU_0012,Student 0012,Male,2026_T1,JSS2,Computer Science,23.7,40,32,18,Poor
STU_0012,Student 0012,Male,2026_T1,JSS2,English Language,24.0,40,29,16,Poor
STU_0012,Student 0012,Male,2026_T1,JSS2,Physics,26.4,40,27,15,Poor
STU_0012,Student 0012,Male,2026_T1,JSS2,Chemistry,23.2,40,27,15,Poor
STU_0012,Student 0012,Male,2026_T1,JSS2,Geography,23.4,40,35,20,Poor
