Student ID,Student Name,Gender,Term,Class,Subject,CA Score,CA Total Score,Classes Held,Classes Attended,Behavioral Rating,Final Outcome
STU_0001,Student 0001,Male,2024_T1,JSS2,Mathematics,37.7,40,32,28,Average,Pass
STU_0001,Student 0001,Male,2024_T1,JSS2,Physics,38.0,40,29,26,Average,Pass
STU_0001,Student 0001,Male,2024_T1,JSS2,Economics,36.2,40,31,27,Average,Pass
STU_0001,Student 0001,Male,2024_T1,JSS2,Computer Science,39.9,40,33,29,Average,Pass
STU_0001,Student 0001,Male,2024_T1,JSS2,Chemistry,35.8,40,35,31,Average,Pass
STU_0001,Student 0001,Male,2024_T1,JSS2,Further Mathematics,35.8,40,32,28,Average,Pass
STU_0001,Student 0001,Male,2024_T2,JSS2,Computer Science,35.7,40,25,21,Average,Pass
STU_0001,Student 0001,Male,2024_T2,JSS2,Further Mathematics,31.7,40,34,29,Average,Pass
STU_0001,Student 0001,Male,2024_T2,JSS2,Mathematics,33.2,40,32,27,Average,Pass
STU_0001,Student 0001,Male,2024_T2,JSS2,Geography,33.4,40,33,28,Average,Pass
STU_0001,Student 0001,Male,2024_T2,JSS2,Physics,38.1,40,33,28,Average,Pass
STU_0001,Student 0001,Male,2024_T2,JSS2,Literature,35.3,40,27,23,Average,Pass
STU_0001,Student 0001,Male,2025_T1,JSS2,English Language,33.5,40,28,25,Average,Pass
STU_0001,Student 0001,Male,2025_T1,JSS2,Computer Science,32.3,40,34,30,Average,Pass
STU_0001,Student 0001,Male,2025_T1,JSS2,Chemistry,33.4,40,34,30,Average,Pass
STU_0001,Student 0001,Male,2025_T1,JSS2,Literature,33.4,40,25,22,Average,Pass
STU_0001,Student 0001,Male,2025_T1,JSS2,Mathematics,34.6,40,34,30,Average,Pass
STU_0001,Student 0001,Male,2025_T1,JSS2,Biology,36.3,40,26,23,Average,Pass
STU_0001,Student 0001,Male,2025_T2,JSS2,Biology,37.2,40,27,24,Average,Pass
STU_0001,Student 0001,Male,2025_T2,JSS2,Chemistry,34.1,40,35,32,Average,Pass
STU_0001,Student 0001,Male,2025_T2,JSS2,Geography,38.3,40,35,32,Average,Pass
STU_0001,Student 0001,Male,2025_T2,JSS2,English Language,36.5,40,29,26,Average,Pass
STU_0001,Student 0001,Male,2025_T2,JSS2,Physics,33.8,40,32,29,Average,Pass
STU_0001,Student 0001,Male,2025_T2,JSS2,Further Mathematics,35.9,40,30,27,Average,Pass
STU_0002,Student 0002,Male,2024_T1,SS2,Further Mathematics,40.0,40,30,21,Average,Pass
STU_0002,Student 0002,Male,2024_T1,SS2,Biology,40.0,40,29,21,Average,Pass
STU_0002,Student 0002,Male,2024_T1,SS2,Physics,39.0,40,27,19,Average,Pass
