Student ID,Student Name,Term,Class,Predicted Outcome,Likelihood of Passing (%),Risk Level,CA Progress (%),Overall Score (%),Attendance (%),Subjects at Risk,Main Issue,Recommended Action
STU_0001,Student 0001,2024_T1,JSS2,Pass,91.3,Low,93.1,93.1,88.0,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0001,Student 0001,2024_T2,JSS2,Pass,89.5,Low,86.4,86.4,84.8,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0001,Student 0001,2025_T1,JSS2,Pass,89.5,Low,84.8,84.8,88.4,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0001,Student 0001,2025_T2,JSS2,Pass,92.3,Low,89.9,89.9,90.3,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0002,Student 0002,2024_T1,SS2,Pass,95.6,Low,99.0,99.0,71.6,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0002,Student 0002,2024_T2,SS2,Pass,96.0,Low,95.0,95.0,71.1,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0002,Student 0002,2025_T1,SS2,Pass,90.7,Low,89.1,89.1,59.4,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0002,Student 0002,2025_T2,SS2,Pass,96.3,Low,96.0,96.0,65.7,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0003,Student 0003,2024_T1,SS2,Pass,94.7,Low,87.0,87.0,70.0,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0003,Student 0003,2024_T2,SS2,Pass,94.4,Low,87.3,87.3,69.4,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0003,Student 0003,2025_T1,SS2,Pass,91.1,Low,76.8,76.8,69.7,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0003,Student 0003,2025_T2,SS2,Pass,90.4,Low,80.1,80.1,62.6,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0004,Student 0004,2024_T1,JSS1,Pass,93.7,Low,83.4,83.4,82.8,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0004,Student 0004,2024_T2,JSS1,Pass,94.6,Low,89.1,89.1,81.6,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0004,Student 0004,2025_T1,JSS1,Pass,95.7,Low,91.2,91.2,74.4,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0004,Student 0004,2025_T2,JSS1,Pass,95.1,Low,85.8,85.8,76.7,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0005,Student 0005,2024_T1,SS2,Pass,95.7,Low,94.2,94.2,78.0,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0005,Student 0005,2024_T2,SS2,Pass,86.3,Low,91.9,91.9,75.6,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0005,Student 0005,2025_T1,SS2,Pass,91.8,Low,84.4,84.4,83.4,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0005,Student 0005,2025_T2,SS2,Pass,91.2,Low,83.5,83.5,79.3,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0006,Student 0006,2024_T1,JSS3,Fail,6.7,High,52.2,52.2,43.3,3,"Low attendance, Many failed subjects",Contact student/guardian regarding attendance. Consider counselling.
STU_0006,Student 0006,2024_T2,JSS3,Fail,10.6,High,41.3,41.3,47.8,5,"Low attendance, Many failed subjects",Contact student/guardian regarding attendance. Consider counselling.
STU_0006,Student 0006,2025_T1,JSS3,Fail,18.5,High,55.1,55.1,48.0,1,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0006,Student 0006,2025_T2,JSS3,Fail,27.5,High,59.1,59.1,44.8,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0007,Student 0007,2024_T1,SS1,Pass,83.6,Low,74.8,74.8,96.5,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0007,Student 0007,2024_T2,SS1,Pass,83.9,Low,73.5,73.5,88.0,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0007,Student 0007,2025_T1,SS1,Pass,88.9,Low,79.4,79.4,90.0,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0007,Student 0007,2025_T2,SS1,Pass,87.9,Low,73.3,73.3,93.5,0,No major risk,Continue monitoring. No immediate intervention required.
